Repository,Description
plackyhacker/CmdLineSpoofer,spoof command line spawning new process csharp
cornflourblue/dotnet-5-jwt-refresh-tokens-api,net fifty api jwt authentication refresh tokens
Alex-Rachel/TGameUnity,tgameunity
Unity-Technologies/unity-inverse-dynamics-demo,small project showing inverse dynamics available unity
OsOmE1/Beebyte-Deobfuscator,plugin il2cppinspector performs quasi deobfuscation
vrctxl/VideoTXL,sync local video players vrchat design consideration events
notaspacecowboy/unity-mmorpg,mmorpg project made net corecsharp server unitycsharp client
RighteousRyan1/TanksRebirth,complete rebuild wii plays tanks game mode attempting stay true original game
youshengCode/IfcToolbox,simple tools processing ifc files optimize convert split relocate anonymize ifc files easily
AvaloniaUI/Avalonia.GIF,gif image renderer player avalonia ui framework
filipnavara/dotnet-hotrewatch,dotnet watch always wanted
skahwah/encrypt,pseudorandom aes256 encryption designed protect shellcode arbitrary strings csharp ccpp compatible
jasontaylordev/ModernWebDevWithBlazorWasm,sample code presentation modern web dev blazor webasembly aspnet core six
wlgys8/PBDClothLearn,cloth simulation position based dynamics unity job system
fraktalcyber/Fransom,fraktals ransomware emulator
GSGBen/t2md,back trello markdown folders disk fast
cotaku/DanmakuFrostMaster,uwp
andrecarlucci/fix,fix
hellgrenj/Rumpel,simple opinionated automated consumerdriven contract testing json apis
sschoener/burst-simd-exercises,simd exercises burst unity
2dust/clashN,clash client windows support mihomo
Ponderfly/GoogleTranslateIpCheck,ip
AdminTest0/SharpWxDump,
Sanakan8472/copy-dialog-lunar-lander,play lunar lander windows file copy dialog
Cysharp/MemoryPack,zero encoding extreme performance binary serializer csharp unity
gusmanb/logicanalyzer,twentyfour channel 100msps logic analyzer hardware software
tuyoogame/YooAsset,unity3d resources management system
imbushuo/EnergyStar,terrible application setting sv2 efficiency mode inactive windows apps user background apps
Matthew-J-Spencer/Ultimate-2D-Controller,great starting point 2d controller making use hidden tricks like coyote buffered actions speedy apex anti grav apex etc
Fictiverse/Redream,realtime diffusion using automatic1111 stable diffusion api
amantinband/error-or,simple fluent discriminated union error result
kikipoulet/SukiUI,ui theme avaloniaui
Dec0ne/KrbRelayUp,krbrelayup universal nofix local privilege escalation windows domain environments ldap signing enforced default settings
JasperFx/wolverine,supercharged net server side development
Nexus-Mods/NexusMods.App,home development nexus mods app
HolographicHat/Yae,
SimonCropp/Delta,approach implementing three hundred four modified leveraging db change tracking
mattpannella/pupdate,pupdate thing updating analogue pocket
Flangvik/TeamFiltration,teamfiltration crossplatform framework enumerating spraying exfiltrating backdooring o365 aad accounts
ape-byte/DouyinBarrageGrab,wsschrome
ConfusedPolarBear/intro-skipper,fingerprint audio automatically detect skip intro sequences jellyfin
DragoQCC/HardHatC2,csharp command control framework
n00mkrad/text2image-gui,somewhat modular text2image gui initially stable diffusion
cube0x0/KrbRelay,framework kerberos relaying
JDArmy/SharpXDecrypt,xshell
LightCountry/TokenPay,trxusdttrc20etha payment solution supports dynamic static payee addresses receive trx usdttrc20 tokens eth series blockchain
RowTeam/SharpDecryptPwd,sharpdecryptpwd source decrypt navicatxmanagerfilezillafoxmailwinscpetc
HaveIBeenPwned/PwnedPasswordsDownloader,tool download pwned passwords hash ranges save offline used without dependency kanonymity api
nicknsy/jellyscrub,smooth mouseover video scrubbing previews jellyfin
ClementGre/ThreeFingerDragOnWindows,enables macosstyle threefinger dragging functionality windows precision touchpads
HeyM1ke/Assist,csharp valorant thirdparty launcher
StateSmith/StateSmith,state machine code generation tool suitable bare metal embedded
Elfocrash/clean-minimal-api,project showcasing build clean minimal api using fastendpoints
Unity-Technologies/ECS-Network-Racing-Sample,ecs multiplayer racing sample showcase using unity entities netcode best practices
adospace/reactorui-maui,mauireactor mvu ui framework built top net maui
Robinseibold/Unity-URP-Outlines,custom renderer feature screen space outlines
dankrusi/WindowsVirtualDesktopHelper,app help manage virtual desktops windows ten windows eleven
Unity-Technologies/UnityDataTools,experimental tools libraries reading analyzing unity data files
AlmondOffSec/PassTheCert,proofofconcept tool authenticate ldaps server certificate schannel
mrd0x/EvilSelenium,evilselenium tool weaponizes selenium attack chromium based browsers
Wafflus/unity-genshin-impact-movement-system,movement system made unity attempts replicate genshin impact movement
markjprice/cs11dotnet7,repository packt publishing book titled csharp eleven net seven modern crossplatform development fundamentals mark j price
CjangCjengh/MoeGoe_GUI,gui moegoe
tier4/AWSIM,open source simulator selfdriving vehicles
SteveSandersonMS/dotnet-wasi-sdk,packages building net projects standalone wasicompliant modules
SuperStudio/SuperCom,supercom
RetroDriven/Pocket_Updater,windows gui application update cores analogue pocket
BeichenDream/PrintNotifyPotato,printnotifypotato
github/gh-valet,valet helps facilitate migration azure devops circleci gitlab ci jenkins travis ci pipelines github actions
ps1337/reinschauer,good
emrecancubukcu/Terrain-Decorator,lightweight terrain tool unity3d
XuToWei/GameDevelopmentKit,unityunitygameframeworketlubanhybridclrunitask
GhostPack/Koh,token stealer
redteamsocietegenerale/DLLirant,dllirant tool automatize dll hijacking researches specified binary
Wra7h/FlavorTown,various ways execute shellcode
Haruma-K/UnityDebugSheet,hierarchical debug menu system unity makes easy create intuitive organized debug menus
Dec0ne/ShadowSpray,tool spray shadow credentials across entire domain hopes abusing long forgotten genericwritegenericall dacls objects domain
PiMaker/ltcgi,optimized plugandplay realtime area lighting using linearly transformed cosine algorithm unityvrchat
JohnBaracuda/com.baracuda.runtime-monitoring,runtime monitoring easy way monitor value state custom csharp members runtime add monitor attribute field property event method even class get value state displayed automatically customizable extendable debug ui
amantinband/buber-breakfast,rest api supports creating reading updating deleting breakfasts
gmhevinci/UniFramework,unity game development framework
mKenfenheuer/steam-deck-windows-usermode-driver,windows usermode controller driver steam deck internal controller
cnbluefire/HotLyric,hyplayer lyricease
temporalio/sdk-dotnet,temporal net sdk
apache/arrow-adbc,database connectivity api standard libraries apache arrow
rasta-mouse/SharpC2,command control framework written csharp
Webreaper/CentralisedPackageConverter,converts project use centralised package management
CesiumGS/cesium-unity,bringing 3d geospatial ecosystem unity
Harsha-Global/AspNetCore-Harsha,aspnet core ultimate guide course web university harsha
improsec/SharpEventPersist,persistence writingreading shellcode event log
weiyourumeng/RM-Toolbox,
sdcb/Sdcb.FFmpeg,ffmpeg basic net api generated cppsharp
hasantarhan/LeafPhysics,unity jobs based high performance particles
zcgonvh/DCOMPotato,service dcom object seimpersonateprivilege abuse
dashiell-zhang/NetEngine,net
oculus-samples/Unity-TheWorldBeyond,presence platform showcase demonstrating usage scene passthrough interaction voice spatializer oculus sdk supporting material subject oculus proprietary license multiple licenses may apply
naweed/MauiTubePlayer,youtube clone app building using net maui
WowLegacyCore/HermesProxy,world warcraft connection proxy vmangos cmangos
katboi01/UmaViewer,asset viewer uma musume
Librum-Reader/Librum-Server,librum server
xuetaolu/URP_ASE_Tutorial,amplify shader editor tutorial universal render pipeline
BruceQiu1996/NPhoenix,base lcu apisupport many functionslet us go read readmemd
digitalinnovationone/trilha-net-fundamentos-desafio,desafio de projeto net fundamentos dio
lwwhb/RoadToDotsTutorials,road dots tutorials
trailofbits/RpcInvestigator,exploring rpc interfaces windows
google-wallet/rest-samples,samples google wallet rest apis
bugch3ck/SharpEfsPotato,local privilege escalation seimpersonateprivilege using efsrpc
RedDot-3ND7355/MPO-GPU-FIX,mpo fix five hundred billion  sixty million  seven thousand amd gpus rtx 200030004000gtx one thousand  six hundred
killop/URP-12-GammaUIAndSplitResolution,uiui gamma
oculus-samples/Unity-Movement,body eye face tracking code sample
d3lb3/KeeFarceReborn,standalone dll exports databases cleartext injected keepass process
vosmiic/jellyfin-ani-sync,synchronize anime watch status jellyfin anime tracking sites
dreaw131313/MotionMatchingByDreaw,animation system unity engine based motion matching
thekiwicoder0/UnityBehaviourTreeEditor,behaviour tree editor unity built uitoolkit
nats-io/nats.net,full async csharp net client nats
vawser/Yapped-Rune-Bear,personal version yapped elden ring
Cysharp/AlterNats,alternative high performance nats client net
dotnet/dotnet-wasi-sdk,sdk building net projects standalone wasicompliant modules
GMYXDS/MstscManager,mstscputtyxshellxftpradminvncwinscpsecurecrt
oculus-samples/Unity-FirstHand,oculus interaction sdk showcase demonstrating use interaction sdk unity hand tracking project contains interactions used first hand demo available app lab oculus sdk supporting material subject oculus proprietary license
keijiro/Metatex,metadataonly texture importer unity
killop/URP-12-Extension,urp12extension
awgil/ffxiv_bossmod,bossmod ffxiv dalamud plugin
HackerPoet/HyperEngine,noneuclidean unity backend hyperbolica
Nican/Furland,building realtime twitter graph friends
Joker-YF/JKFrame,indie game framework
LluisV/Z-Anatomy,zanatomy app unity project
ironmansoftware/psmsi,create msis using powershell
ogoguel/realtimehand,realtime hand tracking unity package
naweed/MauiPlanets,planets mobile app ui built using net maui
JiangWZW/Realtime-GPU-Contour-Curves-from-3D-Mesh,realtime gpudriven method generate 2d curves 3d meshs contour
redis/NRedisStack,redis stack net client
CSharpDesignPro/Page-Navigation-using-MVVM,wpf page navigation using mvvm
Windows-Apps-Hub/UnitedSets,bring back sets tabs grouping windows tabs
RedSiege/PersistAssist,fully modular persistence framework
booksuper/PclCSharp,pcl wrapper net
nheiniger/SnaffPoint,tool pointesters find candies sharepoint
Thundernerd/Unity3D-SerializableInterface,wrapper allows serialize interfaces
CesiumGS/cesium-unity-samples,sample project cesium unity
vrchat-community/osc,files info using osc communicate vrchat
surajpkhetani/AutoSmuggle,utility craft html svg smuggled files red team engagements
derkork/openscad-graph-editor,openscad graph editor
krlvm/AccentColorizer-E11,accent colorization windows eleven file explorer icon glyphs
thomasjacobsen-unity/Unity-Code-Style-Guide,inspirational csharp code style guide unity projects
1176892094/JFramework-Unity,jframeworkunityp2phybridclrjframeworknet
zcgonvh/TaskSchedulerMisc,misc taskscheduler plays
SonicTHI/SaveOurShip2Experimental,experimental branch save ship two
Flangvik/CobaltBus,cobalt strike external c2 integration azure servicebus c2 traffic via azure servicebus
DuendeSoftware/Duende.AccessTokenManagement,automatic token management machine machine usercentric web app oauth oidc flows
onionware-github/OnionMedia,opensource mediaconverter downloader
LiuOcean/Luban_Unity_GUI,luban unity gui
xiaopeng12138/MaiDXR,vr arcade simulator
xlljc/DungeonShooting,godotrogue
h4wkst3r/SCMKit,source code management attack toolkit
MaciejGorczyca/ChallengesAreEvil,remove challenge tokens profile banner 1clickbutton solution
Ryze-T/CNVD-2022-10270-LPE,rce
